0	0
1	13
2	2567
3	8
4	221
5	419
6	113
7	398
8	114
9	233
10	237
11	197
12	216
13	142
14	196
15	181
16	202
17	161
18	149
19	158
20	193
21	176
22	196
23	112
24	138
25	174
26	156
27	166
28	118
29	135
30	157
31	155
32	161
33	130
34	137
35	152
36	123
37	154
38	128
39	144
40	147
41	145
42	156
43	143
44	135
45	137
46	134
47	152
48	133
49	159
50	157
51	176
52	140
53	132
54	142
55	137
56	142
57	144
58	135
59	140
60	150
61	153
62	149
63	176
64	144
65	142
66	148
67	120
68	142
69	148
70	159
71	201
72	143
73	159
74	156
75	142
76	154
77	158
78	178
79	162
80	158
81	173
82	165
83	178
84	200
85	175
86	218
87	187
88	225
89	196
90	218
91	237
92	251
93	251
94	251
95	201
96	240
97	230
98	255
99	258
100	246
101	282
102	244
103	242
104	249
105	228
106	260
107	247
108	242
109	260
110	240
111	257
112	240
113	263
114	284
115	270
116	265
117	279
118	289
119	277
120	309
121	272
122	287
123	298
124	330
125	310
126	309
127	283
128	310
129	300
130	312
131	297
132	351
133	281
134	352
135	334
136	351
137	320
138	317
139	309
140	357
141	291
142	335
143	295
144	282
145	301
146	300
147	308
148	283
149	299
150	299
151	304
152	294
153	261
154	267
155	307
156	261
157	243
158	266
159	254
160	262
161	264
162	274
163	238
164	261
165	257
166	255
167	260
168	227
169	232
170	226
171	238
172	257
173	227
174	240
175	224
176	213
177	212
178	196
179	216
180	210
181	224
182	194
183	197
184	221
185	192
186	175
187	185
188	188
189	169
190	177
191	158
192	141
193	150
194	148
195	135
196	163
197	133
198	134
199	138
200	145
201	120
202	149
203	126
204	129
205	95
206	118
207	108
208	108
209	103
210	111
211	86
212	95
213	91
214	105
215	84
216	101
217	73
218	90
219	84
220	80
221	88
222	76
223	69
224	80
225	58
226	81
227	69
228	93
229	77
230	76
231	57
232	79
233	78
234	74
235	66
236	62
237	65
238	67
239	40
240	89
241	65
242	66
243	67
244	86
245	45
246	110
247	61
248	107
249	69
250	57
251	134
252	46
253	331
254	17
255	433
